index,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,hemisphere
(Intercept),0.335,0.269,0.402,0.034,69.452,9.936,0.0,***,left
super_pairMT__frontal,-0.114,-0.203,-0.025,0.045,319.84,-2.513,0.012,*,left
super_pairMT__temporal,-0.098,-0.169,-0.026,0.037,326.439,-2.662,0.008,**,left
super_pairSTS__frontal,0.114,0.042,0.185,0.037,326.439,3.102,0.002,**,left
super_pairSTS__temporal,0.193,0.131,0.254,0.031,331.749,6.138,0.0,***,left
super_pairfrontal__temporal,0.257,0.186,0.329,0.037,326.439,7.027,0.0,***,left
(Intercept),0.446,0.387,0.505,0.03,86.925,14.82,0.0,***,right
super_pairMT__frontal,-0.12,-0.212,-0.028,0.047,284.259,-2.555,0.011,*,right
super_pairMT__temporal,-0.165,-0.235,-0.095,0.036,290.209,-4.616,0.0,***,right
super_pairSTS__frontal,0.076,0.003,0.15,0.037,290.27,2.036,0.043,*,right
super_pairSTS__temporal,0.125,0.065,0.184,0.03,294.747,4.104,0.0,***,right
super_pairfrontal__temporal,0.073,-0.001,0.148,0.038,289.919,1.927,0.055,.,right
